"Date","Value"
"10/31/2006",97.3901
"11/01/2006",97.4949
"11/02/2006",97.6556
"11/03/2006",97.7209
"11/06/2006",97.806
"11/07/2006",97.4453
"11/08/2006",97.58
"11/09/2006",97.5041
"11/10/2006",97.4638
"11/13/2006",97.7904
"11/14/2006",97.7475
"11/15/2006",97.8359
"11/16/2006",97.8098
"11/17/2006",97.9855
"11/20/2006",98.0254
"11/21/2006",98.0215
"11/22/2006",97.5315
"11/23/2006",97.5314
"11/24/2006",97.0657
"11/27/2006",96.9986
"11/28/2006",96.8428
"11/29/2006",96.8577
"11/30/2006",96.5779
"12/01/2006",96.4585
"12/04/2006",96.4319
"12/05/2006",96.2082
"12/06/2006",96.2839
"12/07/2006",96.3207
"12/08/2006",96.6123
"12/11/2006",96.6646
"12/12/2006",96.7119
"12/13/2006",96.7296
"12/14/2006",96.7946
"12/15/2006",96.9857
"12/18/2006",97.1559
"12/19/2006",96.9313
"12/20/2006",96.7762
"12/21/2006",96.9148
"12/22/2006",97.1113
"12/25/2006",97.1221
"12/26/2006",97.1786
"12/27/2006",97.2076
"12/28/2006",97.0656
"12/29/2006",97.0312
"01/01/2007",97.0323
"01/03/2007",97.1281
"01/04/2007",97.5251
"01/05/2007",97.7801
"01/08/2007",97.788
"01/09/2007",97.9642
"01/10/2007",98.0943
"01/11/2007",98.0845
"01/12/2007",97.921
"01/15/2007",97.9201
"01/16/2007",97.9816
"01/17/2007",97.7509
"01/18/2007",97.8286
"01/19/2007",97.6868
"01/22/2007",97.827
"01/23/2007",97.8117
"01/24/2007",97.908
"01/25/2007",97.8396
"01/26/2007",98.1491
"01/29/2007",98.2066
"01/30/2007",98.1515
"01/31/2007",97.964
"02/01/2007",97.7101
"02/02/2007",97.9743
"02/05/2007",97.87
"02/06/2007",97.7357
"02/07/2007",97.7239
"02/08/2007",97.8169
"02/09/2007",97.7076
"02/12/2007",97.9409
"02/13/2007",97.7063
"02/14/2007",97.2779
"02/15/2007",97.1588
"02/16/2007",97.164
"02/19/2007",97.1545
"02/20/2007",97.321
"02/21/2007",97.27
"02/22/2007",97.266
"02/23/2007",97.1756
"02/26/2007",97.2281
"02/27/2007",97.0883
"02/28/2007",97.2386
"03/01/2007",97.3358
"03/02/2007",97.3691
"03/05/2007",97.6716
"03/06/2007",97.5123
"03/07/2007",97.4558
"03/08/2007",97.5731
"03/09/2007",97.4559
"03/12/2007",97.3013
"03/13/2007",97.2203
"03/14/2007",97.2759
"03/15/2007",97.2476
"03/16/2007",97.0407
"03/19/2007",97.1062
"03/20/2007",96.7985
"03/21/2007",96.6195
"03/22/2007",96.3893
"03/23/2007",96.5662
"03/26/2007",96.5493
"03/27/2007",96.4558
"03/28/2007",96.4894
"03/29/2007",96.5067
"03/30/2007",96.3183
"04/02/2007",96.3175
"04/03/2007",96.3774
"04/04/2007",96.3646
"04/05/2007",96.1188
"04/06/2007",96.2526
"04/09/2007",96.293
"04/10/2007",96.1179
"04/11/2007",96.0293
"04/12/2007",95.7999
"04/13/2007",95.711
"04/16/2007",95.5538
"04/17/2007",95.3832
"04/18/2007",95.3109
"04/19/2007",95.2712
"04/20/2007",95.1692
"04/23/2007",95.1833
"04/24/2007",95.1608
"04/25/2007",94.8497
"04/26/2007",95.1653
"04/27/2007",95.0103
"04/30/2007",94.8365
"05/01/2007",95.0037
"05/02/2007",95.0352
"05/03/2007",95.0167
"05/04/2007",94.9118
"05/07/2007",94.6914
"05/08/2007",94.8648
"05/09/2007",94.7933
"05/10/2007",94.9506
"05/11/2007",95.0035
"05/14/2007",94.8267
"05/15/2007",94.5574
"05/16/2007",94.8143
"05/17/2007",94.8339
"05/18/2007",94.6573
"05/21/2007",94.7026
"05/22/2007",94.5753
"05/23/2007",94.4557
"05/24/2007",94.7025
"05/25/2007",94.5022
"05/28/2007",94.4959
"05/29/2007",94.3533
"05/30/2007",94.549
"05/31/2007",94.3215
"06/01/2007",94.132
"06/04/2007",93.9969
"06/05/2007",93.9986
"06/06/2007",94.1217
"06/07/2007",94.3537
"06/08/2007",94.7599
"06/11/2007",94.6576
"06/12/2007",94.6991
"06/13/2007",94.9011
"06/14/2007",94.9029
"06/15/2007",94.6228
"06/18/2007",94.5475
"06/19/2007",94.3227
"06/20/2007",94.3618
"06/21/2007",94.6073
"06/22/2007",94.4371
"06/25/2007",94.5105
"06/26/2007",94.4678
"06/27/2007",94.5633
"06/28/2007",94.2395
"06/29/2007",94.1393
"07/02/2007",93.634
"07/03/2007",93.697
"07/04/2007",93.6965
"07/05/2007",93.7653
"07/06/2007",93.5759
"07/09/2007",93.5519
"07/10/2007",93.3339
"07/11/2007",93.3089
"07/12/2007",93.1198
"07/13/2007",93.0133
"07/16/2007",92.9094
"07/17/2007",92.9095
"07/18/2007",92.7959
"07/19/2007",92.7332
"07/20/2007",92.7179
"07/23/2007",92.6585
"07/24/2007",92.505
"07/25/2007",92.9189
"07/26/2007",93.1186
"07/27/2007",93.5485
"07/30/2007",93.5918
"07/31/2007",93.4264
"08/01/2007",93.4011
"08/02/2007",93.3038
"08/03/2007",93.1039
"08/06/2007",93.1112
"08/07/2007",93.3171
"08/08/2007",93.0989
"08/09/2007",93.441
"08/10/2007",93.5214
"08/13/2007",93.6032
"08/14/2007",94.0416
"08/15/2007",94.5014
"08/16/2007",94.9055
"08/17/2007",94.319
"08/20/2007",94.2138
"08/21/2007",94.2676
"08/22/2007",94.0998
"08/23/2007",93.9827
"08/24/2007",93.6863
"08/27/2007",93.6109
"08/28/2007",93.8394
"08/29/2007",93.7174
"08/30/2007",93.7324
"08/31/2007",93.6674
"09/03/2007",93.6691
"09/04/2007",93.6433
"09/05/2007",93.5453
"09/06/2007",93.4468
"09/07/2007",93.2939
"09/10/2007",93.2349
"09/11/2007",92.9244
"09/12/2007",92.6386
"09/13/2007",92.6172
"09/14/2007",92.7083
"09/17/2007",92.823
"09/18/2007",92.6584
"09/19/2007",92.1534
"09/20/2007",91.4212
"09/21/2007",91.4854
"09/24/2007",91.4017
"09/25/2007",91.3392
"09/26/2007",91.4335
"09/27/2007",91.3497
"09/28/2007",90.9446
"10/01/2007",90.8801
"10/02/2007",91.12
"10/03/2007",91.1038
"10/04/2007",91.1632
"10/05/2007",90.7393
"10/08/2007",90.748
"10/09/2007",90.8609
"10/10/2007",90.7154
"10/11/2007",90.4901
"10/12/2007",90.5945
"10/15/2007",90.5387
"10/16/2007",90.7123
"10/17/2007",90.515
"10/18/2007",90.3084
"10/19/2007",90.1014
"10/22/2007",90.6777
"10/23/2007",90.1899
"10/24/2007",90.2262
"10/25/2007",89.9925
"10/26/2007",89.6508
"10/29/2007",89.4118
"10/30/2007",89.3252
"10/31/2007",89.1389
"11/01/2007",89.1628
"11/02/2007",88.8924
"11/05/2007",88.8851
"11/06/2007",88.4938
"11/07/2007",88.0631
"11/08/2007",88.2631
"11/09/2007",88.4615
"11/12/2007",88.465
"11/13/2007",89.1016
"11/14/2007",88.9671
"11/15/2007",89.4413
"11/16/2007",89.3182
"11/19/2007",89.5262
"11/20/2007",89.2622
"11/21/2007",89.3352
"11/22/2007",89.3269
"11/23/2007",89.2384
"11/26/2007",89.145
"11/27/2007",89.4082
"11/28/2007",89.4195
"11/29/2007",89.3681
"11/30/2007",89.6212
"12/03/2007",89.6403
"12/04/2007",89.6672
"12/05/2007",89.8751
"12/06/2007",89.9268
"12/07/2007",89.74
"12/10/2007",89.6811
"12/11/2007",89.7176
"12/12/2007",89.7349
"12/13/2007",90.1374
"12/14/2007",90.4345
"12/17/2007",90.5363
"12/18/2007",90.5602
"12/19/2007",90.6147
"12/20/2007",90.4695
"12/21/2007",90.3672
"12/24/2007",90.1788
"12/25/2007",90.1786
"12/26/2007",89.9226
"12/27/2007",89.684
"12/28/2007",89.4069
"12/31/2007",89.6304
"01/01/2008",89.6297
"01/02/2008",89.3514
"01/03/2008",89.231
"01/04/2008",89.2467
"01/07/2008",89.5718
"01/08/2008",89.3398
"01/09/2008",89.6807
"01/10/2008",89.6226
"01/11/2008",89.5215
"01/14/2008",89.2749
"01/15/2008",89.1555
"01/16/2008",89.6701
"01/17/2008",89.6484
"01/18/2008",89.8993
"01/21/2008",89.9265
"01/22/2008",89.84
"01/23/2008",89.9138
"01/24/2008",89.203
"01/25/2008",89.2184
"01/28/2008",88.9555
"01/29/2008",88.8342
"01/30/2008",88.7442
"01/31/2008",88.6547
"02/01/2008",88.4824
"02/04/2008",88.4788
"02/05/2008",89.076
"02/06/2008",88.9987
"02/07/2008",89.4221
"02/08/2008",89.2226
"02/11/2008",89.2149
"02/12/2008",88.9539
"02/13/2008",89.1382
"02/14/2008",88.9055
"02/15/2008",88.9006
"02/18/2008",88.9004
"02/19/2008",88.9626
"02/20/2008",89.2572
"02/21/2008",88.716
"02/22/2008",88.7082
"02/25/2008",88.5373
"02/26/2008",88.0998
"02/27/2008",87.3353
"02/28/2008",87.0363
"02/29/2008",87.1654
"03/03/2008",87.2381
"03/04/2008",87.3039
"03/05/2008",87.1347
"03/06/2008",86.9105
"03/07/2008",87.1258
"03/10/2008",87.1452
"03/11/2008",87.1763
"03/12/2008",86.728
"03/13/2008",86.3891
"03/14/2008",86.4301
"03/17/2008",86.3417
"03/18/2008",86.1191
"03/19/2008",86.5755
"03/20/2008",87.3293
"03/21/2008",87.2111
"03/24/2008",87.3103
"03/25/2008",86.8339
"03/26/2008",86.5513
"03/27/2008",86.4583
"03/28/2008",86.6369
"03/31/2008",86.6881
"04/01/2008",87.0276
"04/02/2008",86.8886
"04/03/2008",86.6424
"04/04/2008",86.5108
"04/07/2008",86.603
"04/08/2008",86.7369
